eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,379,1.1388941e-05,0.0,8.316874,-2.7905473e-05,3.883602e-08,nan,153,19584,468.7231341470033,156672
nan,nan,371,2.4991852e-05,0.0,8.316984,0.00013768315,1.28365185e-08,nan,154,19712,471.48199131246656,157696
nan,nan,322,1.7817634e-05,0.0,8.317163,-2.8690189e-05,1.8151918e-09,nan,155,19840,474.65454982593656,158720
nan,nan,360,4.8079128e-05,0.0,8.3170595,-5.4563097e-05,1.1940442e-08,nan,156,19968,477.4948631953448,159744
nan,nan,331,0.00010559513,0.0,8.316363,-3.4330988e-05,7.003976e-08,nan,157,20096,480.58610089030117,160768
nan,nan,361,0.00032972154,0.0029296875,8.314628,-0.00018493981,5.330865e-08,nan,158,20224,483.42014605458826,161792
nan,nan,310,0.0007092195,0.022460938,8.310931,-0.000863278,1.12887236e-07,nan,159,20352,486.715572158806,162816
nan,nan,319,0.0001872326,0.0,8.308931,-2.4239807e-05,3.3044526e-07,nan,160,20480,489.9224175484851,163840
nan,nan,318,0.00048317382,0.008056641,8.312874,0.00045821944,3.2462967e-07,nan,161,20608,493.1408305875957,164864
nan,nan,343,6.551907e-05,0.0,8.315549,0.0,1.5340495e-07,nan,162,20736,496.11956437677145,165888
nan,nan,289,1.0287147e-05,0.0,8.315895,0.00032546988,7.302821e-08,nan,163,20864,499.6591406967491,166912
nan,nan,328,9.843173e-05,0.0,8.314788,-0.00020879113,9.810877e-08,nan,164,20992,502.7756052380428,167936
nan,nan,268,6.910894e-05,0.0,8.313928,-0.00013699126,1.372027e-07,nan,165,21120,506.58351582847536,168960
nan,nan,291,3.8875056e-05,0.0,8.315639,0.00016822752,6.4461396e-08,nan,166,21248,510.09395618364215,169984
nan,nan,315,4.1691732e-05,0.0,8.315448,-5.1293642e-05,7.815232e-08,nan,167,21376,513.3354053366929,171008
nan,nan,339,0.0007546841,0.037109375,8.311884,-0.00032299693,9.80156e-07,nan,168,21504,516.353648881428,172032
nan,nan,323,0.00019423285,0.0,8.3093815,0.0,8.62883e-07,nan,169,21632,519.5219984687865,173056
nan,nan,311,0.00028249755,0.0009765625,8.3131075,-0.00074029755,1.5820132e-07,nan,170,21760,522.8114274702966,174080
nan,nan,368,5.9871134e-05,0.0,8.315602,0.0,5.7189133e-09,nan,171,21888,525.5913280574605,175104
nan,nan,342,1.132372e-05,0.0,8.316082,-2.0661191e-05,9.0959055e-08,nan,172,22016,528.5850562304258,176128
nan,nan,324,5.1562492e-05,0.0,8.315457,4.401598e-05,6.264265e-08,nan,173,22144,531.7387334862724,177152
nan,nan,331,5.824462e-05,0.0,8.31387,-1.8394396e-05,3.5925652e-08,nan,174,22272,534.8238000851125,178176
nan,nan,323,5.954292e-05,0.0,8.313114,-4.381418e-05,1.8856917e-07,nan,175,22400,537.9898451017216,179200
nan,nan,314,8.196492e-05,0.0,8.312216,-0.00012279791,1.5521528e-07,nan,176,22528,541.2416733726859,180224
nan,nan,342,0.00057108124,0.017089844,8.308101,-0.00046497604,4.0606588e-07,nan,177,22656,544.2278634738177,181248
nan,nan,332,4.1072788e-05,0.0,8.302813,0.0,2.5783729e-07,nan,178,22784,547.3068390786648,182272
nan,nan,339,0.0011837856,0.056152344,8.310435,-0.0010450504,5.6734285e-07,nan,179,22912,550.3231957955286,183296
nan,nan,332,5.7686146e-05,0.0,8.311733,0.0,1.3534337e-07,nan,180,23040,553.4048691177741,184320
nan,nan,364,2.2173119e-05,0.0,8.3119545,-2.2266202e-05,5.973541e-08,nan,181,23168,556.21517038811,185344
nan,nan,305,8.18581e-05,0.0,8.313551,-0.00037642318,1.1374783e-07,nan,182,23296,559.5674809003249,186368
nan,nan,336,4.4705383e-05,0.0,8.315236,0.0,1.7729274e-08,nan,183,23424,562.613089571707,187392
nan,nan,321,5.3958615e-06,0.0,8.3158045,0.0,2.5392617e-09,nan,184,23552,565.8011140543967,188416
nan,nan,317,1.9379127e-06,0.0,8.31605,0.0,1.6181131e-09,nan,185,23680,569.0285677807406,189440
nan,nan,337,1.2319915e-06,0.0,8.316221,0.0,1.4569026e-09,nan,186,23808,572.0585894668475,190464
nan,nan,322,9.598309e-06,0.0,8.316416,-1.3590278e-05,8.814044e-09,nan,187,23936,575.2314206836745,191488
nan,nan,348,1.0283183e-05,0.0,8.316621,0.0,1.340518e-08,nan,188,24064,578.168844663538,192512
nan,nan,342,2.592965e-06,0.0,8.316707,-9.3906914e-05,1.1770329e-08,nan,189,24192,581.1592171220109,193536
nan,nan,353,1.6629006e-06,0.0,8.31677,0.0,3.5417158e-10,nan,190,24320,584.0546318627894,194560
nan,nan,302,4.0725683e-07,0.0,8.316824,0.0,4.4305762e-10,nan,191,24448,587.4376817494631,195584
nan,nan,311,3.9815347e-07,0.0,8.316884,0.0,3.7188447e-10,nan,192,24576,590.7205631108955,196608
nan,nan,337,3.400147e-07,0.0,8.31694,0.0,3.562156e-10,nan,193,24704,593.7529445365071,197632
nan,nan,310,1.8561205e-06,0.0,8.31695,-4.9739647e-06,5.762763e-09,nan,194,24832,597.0536938384175,198656
nan,nan,316,4.210657e-06,0.0,8.316894,-4.841957e-06,3.091712e-08,nan,195,24960,600.2894754018635,199680
nan,nan,322,2.4289416e-06,0.0,8.316989,0.0,9.616587e-09,nan,196,25088,603.4680962050334,200704
nan,nan,338,8.150004e-06,0.0,8.317025,-1.9926232e-05,3.871833e-09,nan,197,25216,606.4910804210231,201728
nan,nan,339,1.3229477e-05,0.0,8.316892,-4.86044e-05,7.5200965e-09,nan,198,25344,609.5101737044752,202752
nan,nan,310,8.465913e-07,0.0,8.316832,0.0,8.7713276e-10,nan,199,25472,612.8061942830682,203776
nan,nan,287,8.8602326e-07,0.0,8.31687,-3.3311917e-06,7.3100406e-09,nan,200,25600,616.3668439630419,204800
nan,nan,312,2.3255238e-06,0.0,8.316944,-9.075325e-05,2.3480682e-09,nan,201,25728,619.642556797713,205824
nan,nan,344,7.188667e-06,0.0,8.317107,-8.270681e-06,1.3772156e-08,nan,202,25856,622.6132498094812,206848
nan,nan,270,3.5677947e-06,0.0,8.317274,0.0,6.1650858e-09,nan,203,25984,626.3968570455909,207872
nan,nan,314,2.8726961e-07,0.0,8.3173275,0.0,9.56934e-10,nan,204,26112,629.6497697504237,208896
nan,nan,329,2.5568777e-06,0.0,8.317374,-5.4093834e-06,4.3367336e-09,nan,205,26240,632.7556539718062,209920
nan,nan,263,1.5603891e-06,0.0,8.317403,-5.6295066e-06,5.139268e-08,nan,206,26368,636.6490396894515,210944
nan,nan,306,8.866072e-06,0.0,8.317251,0.00032256063,2.7245187e-08,nan,207,26496,639.993313504383,211968
nan,nan,321,2.8296831e-06,0.0,8.317105,0.0,4.773169e-08,nan,208,26624,643.1824372354895,212992
nan,nan,334,4.9555375e-08,0.0,8.317083,0.0,6.012176e-09,nan,209,26752,646.2439444679767,214016
nan,nan,363,9.463007e-07,0.0,8.317104,-7.1564173e-06,4.140858e-09,nan,210,26880,649.0614199554548,215040
nan,nan,347,2.3668981e-06,0.0,8.31707,-1.4039706e-06,7.360425e-09,nan,211,27008,652.0072936499491,216064
nan,nan,321,7.5068266e-07,0.0,8.316987,0.0,1.4321749e-09,nan,212,27136,655.1891388799995,217088
nan,nan,369,1.159715e-07,0.0,8.316996,0.0,5.451651e-10,nan,213,27264,657.9625792596489,218112
nan,nan,348,2.0640103e-07,0.0,8.317033,0.0,5.388351e-10,nan,214,27392,660.898476970382,219136
nan,nan,281,1.7502729e-06,0.0,8.317073,-1.1466775e-05,2.638259e-08,nan,215,27520,664.5304923197255,220160
nan,nan,342,1.6716351e-06,0.0,8.317078,0.0,1.2933001e-08,nan,216,27648,667.521894229576,221184
